100014,0,Cash loans,F,N,Y,1,112500,652500,21177,652500,Unaccompanied,Working,Higher education,Married,House / apartment,0.0228,-10197,-679,-4427,-738,,1,1,0,1,0,0,Core staff,3,2,2,SATURDAY,15,0,0,0,0,0,0,Medicine,0.319760172,0.651862333,0.363945239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-844,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100015,0,Cash loans,F,N,Y,0,38419.155,148365,10678.5,135000,Children,Pensioner,Secondary / secondary special,Married,House / apartment,0.015221,-20417,365243,-5246,-2512,,1,0,0,1,1,0,,2,2,2,FRIDAY,7,0,0,0,0,0,0,XNA,0.72204445,0.555183162,0.652896552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-2396,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
100016,0,Cash loans,F,N,Y,0,67500,80865,5881.5,67500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.031329,-13439,-2717,-311,-3227,,1,1,1,1,1,0,Laborers,2,2,2,FRIDAY,10,0,0,0,0,0,0,Business Entity Type 2,0.464831117,0.715041819,0.176652579,0.0825,,0.9811,,,0,0.2069,0.1667,,0.0135,,0.0778,,0,0.084,,0.9811,,,0,0.2069,0.1667,,0.0138,,0.081,,0,0.0833,,0.9811,,,0,0.2069,0.1667,,0.0137,,0.0792,,0,reg oper account,block of flats,0.0612,,No,0,0,0,0,-2370,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100017,0,Cash loans,M,Y,N,1,225000,918468,28966.5,697500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.016612,-14086,-3028,-643,-4911,23,1,1,0,1,0,0,Drivers,3,2,2,THURSDAY,13,0,0,0,0,0,0,Self-employed,,0.566906613,0.77008707,0.1474,0.0973,0.9806,0.7348,0.0582,0.16,0.1379,0.3333,0.375,0.0931,0.1202,0.1397,0,0,0.1502,0.101,0.9806,0.7452,0.0587,0.1611,0.1379,0.3333,0.375,0.0952,0.1313,0.1456,0,0,0.1489,0.0973,0.9806,0.7383,0.0585,0.16,0.1379,0.3333,0.375,0.0947,0.1223,0.1422,0,0,reg oper account,block of flats,0.1417,Panel,No,0,0,0,0,-4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100018,0,Cash loans,F,N,Y,0,189000,773680.5,32778,679500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010006,-14583,-203,-615,-2056,,1,1,0,1,0,0,Laborers,2,2,1,MONDAY,9,0,0,0,0,0,0,Transport: type 2,0.721939769,0.642656205,,0.3495,0.1335,0.9985,0.9796,0.1143,0.4,0.1724,0.6667,0.7083,0.1758,0.2849,0.3774,0.0193,0.1001,0.3561,0.1386,0.9985,0.9804,0.1153,0.4028,0.1724,0.6667,0.7083,0.1798,0.3113,0.3932,0.0195,0.106,0.3529,0.1335,0.9985,0.9799,0.115,0.4,0.1724,0.6667,0.7083,0.1789,0.2899,0.3842,0.0194,0.1022,reg oper account,block of flats,0.3811,Panel,No,0,0,0,0,-188,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100019,0,Cash loans,M,Y,Y,0,157500,299772,20160,247500,Family,Working,Secondary / secondary special,Single / not married,Rented apartment,0.020713,-8728,-1157,-3494,-1368,17,1,1,0,1,0,0,Laborers,1,3,3,SATURDAY,6,0,0,0,1,1,0,Business Entity Type 2,0.115634337,0.346633981,0.678567689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-925,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100020,0,Cash loans,M,N,N,0,108000,509602.5,26149.5,387000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018634,-12931,-1317,-6392,-3866,,1,1,0,1,0,0,Drivers,2,2,2,THURSDAY,12,0,0,0,1,1,0,Government,,0.23637784,0.062103038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100021,0,Revolving loans,F,N,Y,1,81000,270000,13500,270000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010966,-9776,-191,-4143,-2427,,1,1,0,1,0,0,Laborers,3,2,2,MONDAY,10,0,0,0,1,1,0,Construction,,0.683513346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,-2811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100022,0,Revolving loans,F,N,Y,0,112500,157500,7875,157500,Other_A,Working,Secondary / secondary special,Widow,House / apartment,0.04622,-17718,-7804,-8751,-1259,,1,1,0,1,1,0,Laborers,1,1,1,FRIDAY,13,0,0,0,0,0,0,Housing,,0.706428403,0.556727426,0.0278,0.0617,0.9881,0.8368,0.0018,0,0.1034,0.0833,0.125,0.0279,0.0227,0.029,0,0,0.0284,0.064,0.9881,0.8432,0.0018,0,0.1034,0.0833,0.125,0.0286,0.0248,0.0302,0,0,0.0281,0.0617,0.9881,0.839,0.0018,0,0.1034,0.0833,0.125,0.0284,0.0231,0.0295,0,0,reg oper account,block of flats,0.0238,"Stone, brick",No,8,0,8,0,-239,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100023,0,Cash loans,F,N,Y,1,90000,544491,17563.5,454500,Unaccompanied,State servant,Higher education,Single / not married,House / apartment,0.015221,-11348,-2038,-1021,-3964,,1,1,1,1,1,0,Core staff,2,2,2,MONDAY,12,0,0,0,0,0,0,Kindergarten,,0.58661714,0.477649155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-1850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
100024,0,Revolving loans,M,Y,Y,0,135000,427500,21375,427500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.015221,-18252,-4286,-298,-1800,7,1,1,0,1,0,0,Laborers,2,2,2,FRIDAY,13,0,0,0,0,0,0,Self-employed,0.565654882,0.113374513,,0.0722,0.0801,0.9781,0.7008,,0,0.1379,0.1667,0.0417,0.0534,0.0588,0.0619,0,0,0.0735,0.0831,0.9782,0.7125,,0,0.1379,0.1667,0.0417,0.0546,0.0643,0.0645,0,0,0.0729,0.0801,0.9781,0.7048,,0,0.1379,0.1667,0.0417,0.0543,0.0599,0.063,0,0,reg oper account,block of flats,0.053,"Stone, brick",No,0,0,0,0,-296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100025,0,Cash loans,F,Y,Y,1,202500,1132573.5,37561.5,927000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,-14815,-1652,-2299,-2299,14,1,1,0,1,0,0,Sales staff,3,2,2,MONDAY,9,0,0,0,0,0,0,Trade: type 7,0.43770902,0.233766958,0.542445144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
100026,0,Cash loans,F,N,N,1,450000,497520,32521.5,450000,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,0.020713,-11146,-4306,-114,-2518,,1,1,0,1,0,0,Sales staff,3,3,2,THURSDAY,6,0,0,0,0,0,0,Self-employed,,0.457142972,0.358951229,0.0907,0.0795,0.9786,0.7076,0.012,0,0.2069,0.1667,0.2083,0.0898,0.0723,0.0873,0.0077,0.0044,0.0924,0.0825,0.9786,0.719,0.0121,0,0.2069,0.1667,0.2083,0.0918,0.079,0.091,0.0078,0.0047,0.0916,0.0795,0.9786,0.7115,0.012,0,0.2069,0.1667,0.2083,0.0913,0.0735,0.0889,0.0078,0.0045,reg oper account,block of flats,0.0696,Panel,No,0,0,0,0,-468,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
100027,0,Cash loans,F,N,Y,0,83250,239850,23850,225000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.006296,-24827,365243,-9012,-3684,,1,0,0,1,1,0,,2,3,3,FRIDAY,12,0,0,0,0,0,0,XNA,,0.624304737,0.669056695,0.1443,0.0848,0.9876,0.83,0.1064,0.14,0.1207,0.375,0.4167,0.2371,0.1173,0.1484,0.0019,0.0007,0.1261,0.0754,0.9876,0.8367,0,0.1208,0.1034,0.375,0.4167,0.2425,0.1102,0.0923,0,0,0.1457,0.0848,0.9876,0.8323,0.1071,0.14,0.1207,0.375,0.4167,0.2412,0.1193,0.151,0.0019,0.0007,org spec account,block of flats,0.164,Mixed,No,0,0,0,0,-795,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
100029,0,Cash loans,M,Y,N,2,135000,247500,12703.5,247500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-11286,-746,-108,-3729,7,1,1,0,1,0,0,Drivers,4,2,2,THURSDAY,14,0,0,0,0,1,1,Business Entity Type 3,,0.786179309,0.565607981,0.1433,0.1455,0.9861,0.8096,0.0212,0,0.3103,0.1667,0.2083,0.0861,0.1168,0.1217,0,0.0043,0.146,0.1509,0.9861,0.8171,0.0214,0,0.3103,0.1667,0.2083,0.0881,0.1276,0.1268,0,0.0045,0.1447,0.1455,0.9861,0.8121,0.0214,0,0.3103,0.1667,0.2083,0.0876,0.1189,0.1239,0,0.0044,reg oper account,block of flats,0.0967,Panel,No,1,1,1,0,-4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100030,0,Cash loans,F,N,Y,0,90000,225000,11074.5,225000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-19334,-3494,-2419,-2893,,1,1,0,1,1,0,Cleaning staff,2,2,2,SATURDAY,8,0,0,0,0,0,0,Business Entity Type 3,0.561948409,0.651405637,0.461482391,0.0722,0.0147,0.9781,0.7008,0.001,0,0.1379,0.1667,0.0417,0.0498,0.0588,0.067,0,0,0.0735,0.0153,0.9782,0.7125,0.001,0,0.1379,0.1667,0.0417,0.0509,0.0643,0.0698,0,0,0.0729,0.0147,0.9781,0.7048,0.001,0,0.1379,0.1667,0.0417,0.0506,0.0599,0.0682,0,0,reg oper account,block of flats,0.0533,"Stone, brick",No,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100031,1,Cash loans,F,N,Y,0,112500,979992,27076.5,702000,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.018029,-18724,-2628,-6573,-1827,,1,1,0,1,0,0,Cooking staff,1,3,2,MONDAY,9,0,0,0,0,0,0,Business Entity Type 3,,0.54847716,0.190705948,0.0165,0.0089,0.9732,,,0,0.069,0.0417,,0.0265,,0.0094,,0,0.0168,0.0092,0.9732,,,0,0.069,0.0417,,0.0271,,0.0083,,0,0.0167,0.0089,0.9732,,,0,0.069,0.0417,,0.027,,0.0096,,0,,block of flats,0.0085,Wooden,Yes,10,1,10,0,-161,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
100032,0,Cash loans,M,N,Y,1,112500,327024,23827.5,270000,Family,Working,Secondary / secondary special,Married,House / apartment,0.019101,-15948,-1234,-5782,-3153,,1,1,0,1,0,0,Laborers,3,2,2,SATURDAY,10,0,0,0,0,1,1,Industry: type 11,,0.541123702,0.659405532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033,0,Cash loans,M,Y,Y,0,270000,790830,57676.5,675000,Unaccompanied,State servant,Higher education,Single / not married,House / apartment,0.04622,-9994,-1796,-4668,-2661,1,1,1,0,1,0,1,,1,1,1,WEDNESDAY,11,0,1,1,0,0,0,Military,0.600395905,0.68501099,0.524496446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-849,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
100034,0,Revolving loans,M,N,Y,0,90000,180000,9000,180000,Unaccompanied,Working,Higher education,Single / not married,With parents,0.030755,-10341,-1010,-4799,-3015,,1,1,0,1,0,0,Laborers,1,2,2,TUESDAY,16,0,0,0,0,0,0,Business Entity Type 3,0.297913509,0.502779038,,0.1505,0.0838,0.9831,0.7688,0.0188,0.16,0.1379,0.3333,0.375,0.0872,0.121,0.1412,0.0077,0.0061,0.1534,0.087,0.9831,0.7779,0.019,0.1611,0.1379,0.3333,0.375,0.0892,0.1322,0.1471,0.0078,0.0065,0.152,0.0838,0.9831,0.7719,0.0189,0.16,0.1379,0.3333,0.375,0.0887,0.1231,0.1437,0.0078,0.0063,reg oper account,block of flats,0.1227,Panel,No,0,0,0,0,-599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100035,0,Cash loans,F,N,Y,0,292500,665892,24592.5,477000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.025164,-15280,-2668,-5266,-3787,,1,1,0,1,0,1,,2,2,2,WEDNESDAY,13,0,0,0,0,0,0,Business Entity Type 3,,0.479987342,0.410102573,0.0124,,0.9697,,,0,0.069,0.0417,,,,0.0149,,0,0.0126,,0.9697,,,0,0.069,0.0417,,,,0.0155,,0,0.0125,,0.9697,,,0,0.069,0.0417,,,,0.0152,,0,,block of flats,0.0117,Others,No,0,0,0,0,-1634,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
100036,0,Cash loans,F,N,Y,0,112500,512064,25033.5,360000,Family,Working,Secondary / secondary special,Civil marriage,House / apartment,0.008575,-11144,-1104,-7846,-2904,,1,1,0,1,0,0,Private service staff,2,2,2,TUESDAY,12,0,0,0,0,0,0,Services,0.274422372,0.627300401,,0.367,0.3751,0.9901,,,0.28,0.4828,0.375,,0.1569,,0.2574,,,0.3739,0.3893,0.9901,,,0.282,0.4828,0.375,,0.1604,,0.2682,,,0.3706,0.3751,0.9901,,,0.28,0.4828,0.375,,0.1596,,0.262,,,,block of flats,0.3388,Block,No,2,0,2,0,-397,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
100037,0,Cash loans,F,N,N,0,90000,199008,20893.5,180000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.010032,-12974,-4404,-7123,-4464,,1,1,1,1,0,0,Laborers,2,2,2,SATURDAY,11,0,0,0,0,0,0,Business Entity Type 2,,0.559466792,0.798137231,0.0928,,0.9801,,,0,0.2069,0.1667,,,,0.0602,,0.0436,0.0945,,0.9801,,,0,0.2069,0.1667,,,,0.0627,,0.0461,0.0937,,0.9801,,,0,0.2069,0.1667,,,,0.0613,,0.0445,,block of flats,0.0684,Panel,No,0,0,0,0,-2766,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
100039,0,Cash loans,M,Y,N,1,360000,733315.5,39069,679500,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.015221,-11694,-2060,-3557,-3557,3,1,1,0,1,0,0,Drivers,3,2,2,THURSDAY,10,0,0,0,1,1,0,Self-employed,,0.321744896,0.411848556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,-697,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
100040,0,Cash loans,F,N,Y,0,135000,1125000,32895,1125000,Unaccompanied,State servant,Higher education,Married,House / apartment,0.019689,-15997,-4585,-5735,-4067,,1,1,0,1,0,0,Core staff,2,2,2,FRIDAY,14,0,0,0,0,0,0,Security Ministries,,0.172497508,,0.0825,0.0804,0.9762,0.6736,0.0056,0,0.1379,0.1667,0.2083,0.038,0.0672,0.0637,0,0,0.084,0.0835,0.9762,0.6864,0.0057,0,0.1379,0.1667,0.2083,0.0389,0.0735,0.0664,0,0,0.0833,0.0804,0.9762,0.678,0.0057,0,0.1379,0.1667,0.2083,0.0387,0.0684,0.0648,0,0,reg oper account,block of flats,0.0532,"Stone, brick",No,0,0,0,0,-3019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100041,0,Cash loans,F,N,N,0,112500,450000,44509.5,450000,Unaccompanied,Working,Higher education,Married,House / apartment,0.008575,-12158,-1275,-6265,-2009,,1,1,1,1,1,0,Sales staff,2,2,2,MONDAY,19,0,0,0,0,0,0,Self-employed,,0.663158076,0.678567689,0.0948,0.0792,0.9861,0.8096,,0,0.1724,0.1667,,0.0888,,0.0582,,,0.0966,0.0822,0.9861,0.8171,,0,0.1724,0.1667,,0.0908,,0.0606,,,0.0958,0.0792,0.9861,0.8121,,0,0.1724,0.1667,,0.0903,,0.0592,,,reg oper account,block of flats,0.0749,"Stone, brick",No,0,0,0,0,-1285,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100043,0,Cash loans,F,N,Y,2,198000,641173.5,23157,553500,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.01885,-17199,-768,-63,-735,,1,1,1,1,1,0,Private service staff,4,2,2,THURSDAY,13,0,0,0,0,0,0,Other,0.842763466,0.681698803,0.754406173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-2411,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
100044,0,Cash loans,M,N,Y,0,121500,454500,15151.5,454500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.030755,-21077,-1288,-5474,-4270,,1,1,0,1,1,0,Drivers,2,2,2,FRIDAY,10,0,0,0,0,1,1,Transport: type 4,0.804586121,0.719798537,0.72239289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-1541,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100045,0,Cash loans,F,N,Y,0,99000,247275,17338.5,225000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.006207,-23920,365243,-9817,-4969,,1,0,0,1,1,0,,2,2,2,FRIDAY,11,0,0,0,0,0,0,XNA,,0.6507648,0.751723715,,,0.9851,,,0.04,0.0345,0.3333,,0.0566,,0.0922,,,,,0.9851,,,0.0403,0.0345,0.3333,,0.0579,,0.096,,,,,0.9851,,,0.04,0.0345,0.3333,,0.0576,,0.0938,,,,block of flats,0.0786,"Stone, brick",No,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
100046,0,Revolving loans,M,Y,Y,0,180000,540000,27000,540000,Unaccompanied,Working,Higher education,Married,House / apartment,0.025164,-16126,-1761,-8236,-4292,3,1,1,0,1,0,0,Managers,2,2,2,TUESDAY,8,0,0,0,0,0,0,Business Entity Type 3,,0.738053284,0.605836265,0.0814,0.0994,0.9831,0.7688,0.0142,0,0.2069,0.1667,0.2083,0.1404,0.0656,0.0771,0.0039,0.0227,0.083,0.1032,0.9831,0.7779,0.0143,0,0.2069,0.1667,0.2083,0.1436,0.0716,0.0804,0.0039,0.0241,0.0822,0.0994,0.9831,0.7719,0.0143,0,0.2069,0.1667,0.2083,0.1429,0.0667,0.0785,0.0039,0.0232,org spec account,block of flats,0.0734,"Stone, brick",No,1,0,1,0,-540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
100047,1,Cash loans,M,N,Y,0,202500,1193580,35028,855000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,-17482,-1262,-1182,-1029,,1,1,0,1,0,0,Laborers,2,2,2,TUESDAY,9,0,0,0,0,0,0,Business Entity Type 3,,0.306840586,0.320163367,0.1309,0.125,0.996,0.9456,0.0822,0.16,0.1379,0.25,0.2917,0.0142,0.1059,0.1267,0.0039,0.0078,0.1334,0.1297,0.996,0.9477,0.083,0.1611,0.1379,0.25,0.2917,0.0145,0.1157,0.132,0.0039,0.0082,0.1322,0.125,0.996,0.9463,0.0827,0.16,0.1379,0.25,0.2917,0.0144,0.1077,0.129,0.0039,0.0079,org spec account,block of flats,0.1463,"Stone, brick",No,0,0,0,0,-1075,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
100048,0,Cash loans,F,N,Y,0,202500,604152,29196,540000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.009175,-16971,-475,-3148,-513,,1,1,0,1,1,0,Laborers,2,2,2,MONDAY,12,0,1,1,0,1,1,Industry: type 1,,0.037315236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,-458,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
